areaName,Borough,areaType,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10
All Downtown,Manhattan,submarket,3650,3700,3695,3700,3785,3724,3728,3700,3655,3662,3675,3625,3650,3750,3735,3750,3837,3800,3795,3800,3825,3800,3853,3800,3800,3850,3800,3939,4000,4051,4000,3995,4000,4050,4050,4000,4000,3999,3995,3851,3700,3607,3500,3395,3295,3200,3139,3150,3150,3195,3200,3214,3350,3595,3800,4000,4195,4300,4362,4400,4500,4595,4595,4726,4800,4778,4800,4800,4875,4850,4795,4800,4850,4958,4800,4886,4950,4950,4900,4830,4850,4760
All Midtown,Manhattan,submarket,3470,3495,3465,3500,3500,3530,3500,3500,3500,3500,3350,3350,3378,3395,3390,3450,3500,3500,3500,3500,3500,3525,3500,3550,3500,3550,3536,3578,3625,3677,3700,3705,3700,3687,3718,3700,3700,3700,3695,3575,3387,3245,3100,3000,2975,2900,2895,2895,2900,2934,2995,3008,3166,3272,3496,3600,3850,3950,4095,4156,4315,4347,4308,4399,4400,4400,4455,4295,4350,4295,4272,4370,4389,4495,4495,4578,4500,4500,4495,4500,4495,4400
All Upper East Side,Manhattan,submarket,2995,2995,2925,2950,2950,2950,2950,2900,2995,2950,2995,2990,2900,2895,2850,2850,2850,2900,2925,2900,2895,2995,2995,3000,3000,3000,2995,2995,3000,3050,3050,2995,3000,3100,3225,3295,3281,3250,3250,3195,3065,2950,2800,2700,2650,2500,2495,2500,2450,2475,2400,2400,2475,2499,2550,2700,2850,2950,3200,3390,3450,3550,3400,3400,3500,3500,3550,3750,3750,3800,3845,3821,3900,4000,4000,3995,4000,4000,4000,3995,4000,3995
All Upper Manhattan,Manhattan,submarket,2350,2300,2296,2337,2350,2350,2395,2395,2354,2350,2261,2295,2275,2295,2308,2350,2383,2400,2449,2400,2350,2350,2300,2300,2300,2345,2375,2400,2450,2500,2500,2495,2450,2395,2350,2350,2393,2400,2450,2470,2445,2425,2400,2350,2295,2250,2211,2200,2200,2180,2192,2200,2250,2295,2300,2300,2300,2300,2300,2350,2399,2400,2429,2500,2550,2700,2795,2750,2700,2700,2659,2600,2650,2699,2725,2800,2832,2950,2900,2900,2895,2800
All Upper West Side,Manhattan,submarket,3297,3300,3250,3290,3300,3350,3350,3373,3350,3380,3306,3330,3350,3285,3250,3285,3300,3350,3320,3313,3395,3394,3350,3395,3395,3350,3395,3450,3460,3450,3400,3500,3600,3600,3630,3550,3600,3551,3500,3400,3295,3200,3150,3000,2925,2810,2800,2809,2800,2850,2800,2850,3000,3000,3200,3295,3550,3641,3800,3950,3995,4000,4092,4236,4244,4200,4400,4435,4500,4500,4500,4450,4450,4445,4495,4500,4463,4400,4500,4500,4500,4495
Astoria,Queens,neighborhood,2250,2200,2200,2200,2200,2250,2300,2300,2250,2193,2200,2195,2150,2123,2100,2100,2200,2200,2246,2250,2250,2200,2175,2150,2199,2200,2200,2200,2268,2300,2350,2350,2350,2350,2300,2300,2333,2395,2300,2300,2280,2250,2200,2167,2100,2000,2000,1995,1950,1950,1925,1950,1999,2000,2100,2200,2200,2200,2200,2250,2260,2300,2350,2395,2500,2617,2650,2700,2795,2695,2600,2600,2695,2695,2750,2750,2750,2800,2878,2899,2850,2850
Auburndale,Queens,neighborhood,1995,2195,2195,2295,2095,2195,2048,1895,1995,1495,1795,2325,2300,2300,2300,2200,2095,2098,2095,2095,2048,1995,1995,1948,2045,2045,1995,1998,1998,1900,1650,2198,2100,2100,2177,1900,1895,2000,1998,,1998,1995,1823,2000,2095,2073,2000,2152,2212,2100,2195,2000,2000,2195,2125,,2615,2407,,,,,2500,2400,2500,2557,2514,2600,,2400,,,2450,2700,2100,2050,2275,2275,2495,2937,2887,2887
Bath Beach,Brooklyn,neighborhood,2100,1950,1850,1950,1950,2000,1975,1950,1850,1898,2000,1848,1875,1950,2000,2023,2000,1850,1700,1675,1675,1750,1725,1675,1700,1575,1695,1675,1695,1750,1799,1795,1795,1850,1795,1795,1795,1900,2025,,1875,1800,1900,2075,1795,1700,1785,1695,1698,1750,1799,1750,1733,1799,1700,1750,1699,1699,1750,1750,1750,1675,1850,1850,1850,1795,1800,1860,2075,1994,1725,1700,1750,1960,1982,2150,2300,1900,1975,2250,2325,2249
Battery Park City,Manhattan,neighborhood,4175,3995,3910,3995,4350,4393,4515,4375,4485,4685,3890,3950,4150,4078,4050,4275,4648,4520,4650,4854,4993,4854,4500,4365,4415,4495,4300,4450,4950,5125,5190,4750,4675,4895,5250,4985,4431,4190,4200,4295,4500,4500,4275,4229,4190,3995,3750,3840,3800,3950,3995,4000,3995,4140,4300,4520,4400,4253,4660,5260,5044,5100,4758,4740,5080,5250,5613,5600,5300,5313,5048,5325,5400,5650,5425,5475,5750,5523,5997,6000,5845,5995
Bay Ridge,Brooklyn,neighborhood,2000,2000,1950,1975,2000,2000,2000,1895,1895,1900,1825,1850,2000,1995,1900,1963,1950,1975,1850,1999,2000,2000,1995,1900,1900,2000,2000,1995,1950,1900,1900,1950,1895,1900,2000,1950,1900,2000,2100,2066,1999,2000,2000,1950,1950,1850,1800,1775,1750,1750,1800,1750,1750,1750,1750,1800,1795,1775,1800,1775,1850,1900,1913,2000,2150,2275,2175,2350,2300,2200,2100,2200,2350,2312,2200,2150,2200,2300,2300,2400,2500,2400
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,2500,2549,2500,2400,2400,2400,2400,2375,2450,2450,2375,2210,2500,2350,2300,2300,2300,2388,2400,2475,2350,2475,2350,2100,2150,2200,2150,2050,2000,2100,2000,2150,2200,2175,2125,2150,2100,1900,2000,1875,1975,2170,2125,2063,2000,1988,2000,2050,2000,1995,1863,1850,1850,2075,2063,2200,2200,2200,2100,2050,2100,2200,2225,2500,2300,2500,2395,2300,2300,2600,2500,2500,2463,2500,2500,2650,2350,2325,2700,2600,2700,2500
Bedford Park,Bronx,neighborhood,1400,1400,1500,1500,1550,1550,1550,1550,1550,1525,1583,1600,1495,1325,1550,1598,1470,1525,1550,1550,1425,1795,1600,1820,1833,1650,1650,1550,1605,1595,1600,1775,1786,1750,1750,1699,1699,2008,1625,,,,1648,1695,1700,1650,1688,1625,1725,1662,1850,1695,1625,1625,1638,1625,1902,1775,1616,1650,1700,1795,1895,1875,1773,1750,1776,2298,1795,1795,1700,1702,1700,1600,1900,1950,1900,1750,1923,1973,1950,1900
Bedford-Stuyvesant,Brooklyn,neighborhood,2400,2350,2345,2395,2400,2475,2475,2475,2450,2400,2400,2350,2350,2300,2395,2450,2500,2500,2567,2585,2550,2500,2485,2475,2429,2450,2500,2500,2550,2523,2599,2600,2600,2650,2618,2545,2582,2537,2537,2539,2550,2550,2500,2500,2400,2300,2300,2250,2250,2250,2266,2300,2383,2475,2599,2650,2700,2700,2759,2800,2894,2897,2850,2875,3000,3050,3200,3200,3150,3100,3000,2995,3000,2999,3000,3100,3200,3295,3250,3200,3141,3100
Bellerose,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725,,,,,,,,,,,
Belmont,Bronx,neighborhood,1660,1670,1700,1675,1690,1700,1725,1775,1800,1800,1725,1613,1625,1650,1613,1725,1850,1950,1879,1840,2100,2100,1813,1725,1998,2200,2225,1850,1938,1850,2050,2400,2200,2200,2200,1850,1800,1800,1688,1695,2500,2298,2295,2295,2100,2075,2125,2225,2200,2223,2100,2200,2215,2000,2025,2150,2000,2199,2300,1850,1600,1875,1792,2000,2625,2200,1940,2300,2250,2250,2500,2375,2450,2810,2770,2770,2450,2810,3150,2450,2595,2209
Bensonhurst,Brooklyn,neighborhood,2000,1848,1800,1800,1700,1775,1700,1875,1725,1738,1700,1750,1700,1750,1800,1800,1880,1865,1700,1850,1900,1850,1875,1900,1850,1850,1900,1813,1900,1795,1700,1700,1700,1750,1750,1850,1963,1995,1999,1787,1700,1750,1674,1800,1800,1700,1600,1537,1550,1649,1750,1650,1650,1700,1695,1700,1750,1750,1699,1795,1825,2000,1850,2150,2000,2000,2100,2199,1975,2000,2000,2375,2375,2375,2200,2250,2000,2000,2200,2138,2150,2100
Bergen Beach,Brooklyn,neighborhood,2000,2000,2000,2000,,,,2299,,2200,2150,2050,,,,,2175,2275,2300,2150,2225,2063,2325,2300,2225,2100,2100,2100,,,,,2200,2150,2348,2448,,2500,,,,,,2450,,,,,,,,,,,,,2025,1999,2150,,2200,2250,,,,,,2750,2699,2700,2750,2825,,,2750,3000,2800,2800,2775,3050,3175,
Boerum Hill,Brooklyn,neighborhood,2987,3092,2995,2995,3102,3000,3200,3250,3300,3162,3000,3175,3000,3000,3000,2998,3400,3257,3250,3200,3200,3275,3490,3100,3000,2950,2950,3300,3384,3388,3395,3500,3300,3412,3400,3300,3399,3400,3300,3400,3450,3299,3188,3163,3000,2850,2799,2700,2600,2675,2700,2786,2800,2850,2948,2850,2800,3000,3000,3600,3600,3250,3500,3600,4000,4419,4150,3700,3700,3800,3695,4400,4400,4400,4300,4348,4357,4450,4500,4250,4100,4000
Borough Park,Brooklyn,neighborhood,2030,1995,1750,1795,1700,1750,1738,1795,1788,1897,1800,1650,1660,1638,1750,1700,1750,1850,1885,1825,1800,1900,1875,1700,1850,1863,1875,1900,1875,1850,1898,1995,1949,2100,1950,1900,1850,1973,2098,1800,1857,1700,1752,1850,1795,1795,1797,1795,1799,1700,1700,1849,1800,1800,1849,1900,1950,1875,1900,1650,1650,1863,1950,1995,2097,2195,2150,2200,2000,2195,1975,2000,2200,2000,2100,2035,2493,2200,2450,2525,2731,2350
Briarwood,Queens,neighborhood,1650,1663,1700,1720,1700,1700,1713,1773,1700,1797,1849,1797,1795,1725,1798,1800,1720,1749,1750,1699,1750,1769,1750,1830,1775,1715,1795,1748,1750,1825,1757,1750,1875,1850,1850,1750,1795,1775,1786,1726,1700,1785,1795,1727,1750,1763,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1798,1875,1850,1950,1895,1895,1850,1850,1913,1995,1925,1875,1875,1875,1945,1898,1885,1950,1995,2200,2000,1998,1989
Brighton Beach,Brooklyn,neighborhood,2200,2100,2175,2150,2100,2150,2300,2100,2025,2075,2098,2000,2000,2013,2025,2000,2063,2125,2100,2099,2099,2050,2000,2100,2100,2185,2138,1950,1975,2098,2050,1995,1950,2050,2050,1898,1910,1935,2199,2149,2025,2047,2024,2200,2125,1995,1995,1975,1895,1750,1800,1850,1875,1863,1850,1948,2220,2200,2025,2195,2050,2050,2055,2075,2100,2250,2323,2350,2200,2400,2350,2450,2500,2500,2885,2797,2500,2500,2500,2498,2538,2575
Bronx,Bronx,borough,1678,1675,1750,1700,1725,1725,1750,1750,1750,1795,1787,1748,1787,1800,1850,1900,1900,1900,1895,1879,1900,1900,1849,1860,1899,1850,1875,1895,1895,1900,1908,1950,2000,1988,1950,1935,1950,1982,1999,2000,1997,1999,2000,1995,1995,1937,1925,1900,1922,1950,1930,1975,2000,2000,2050,2100,2050,2050,2100,2100,2095,2195,2200,2150,2250,2250,2300,2300,2299,2295,2295,2250,2250,2350,2300,2450,2500,2575,2580,2600,2662,2550
Bronxwood,Bronx,neighborhood,1500,1538,1525,1525,1650,1500,1500,1600,1525,1475,1500,1500,1675,1575,1525,1513,1750,1550,1585,1575,1550,1610,1595,1700,1650,1598,1650,1625,1750,1895,1625,1750,2273,1950,1700,1695,1675,1645,,,,,,1700,1725,1648,1548,1623,1625,1545,1845,1603,1695,1673,1625,1669,1695,1650,1900,1685,1675,1800,1700,1975,1975,1950,1838,1775,1763,1725,1675,1675,1638,2000,1913,2150,1875,2150,2150,2075,2248,2500
Brooklyn,Brooklyn,borough,2500,2500,2495,2500,2500,2550,2599,2615,2599,2500,2495,2450,2450,2450,2495,2500,2591,2600,2695,2680,2600,2550,2500,2500,2500,2500,2500,2595,2600,2650,2700,2700,2699,2682,2600,2599,2600,2650,2673,2700,2700,2699,2695,2600,2500,2462,2400,2400,2399,2399,2400,2400,2450,2500,2600,2650,2695,2600,2618,2680,2750,2800,2850,2950,3090,3200,3350,3399,3300,3200,3150,3100,3199,3199,3200,3300,3400,3436,3500,3500,3495,3400
Brooklyn Heights,Brooklyn,neighborhood,3400,3250,3200,3178,3000,3100,3035,2995,3000,3100,3000,3100,3200,3065,3000,2808,2979,3100,3200,3270,3450,3313,3225,3250,3140,3237,3500,3500,3362,3503,3400,3621,3636,3773,3650,3634,3750,3554,3526,3769,3459,3200,3250,2964,2969,2850,2800,2808,2799,2797,2700,2800,2950,2947,2971,3100,3500,3400,3400,3750,4162,4000,3746,3900,4003,4125,4187,4400,4850,4500,4800,4500,4300,4200,4141,3995,4178,4200,4107,4049,4500,4500
Brookville,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville,Brooklyn,neighborhood,1750,1750,1700,1800,1750,1800,1800,1700,1700,1795,1750,1698,1700,1725,1800,1750,1795,1800,1850,1850,1875,1950,1925,1950,2100,2100,2100,1950,2100,2325,1997,1900,2050,2000,1973,2000,2000,1987,2000,1843,1868,1888,1950,2333,2314,1915,2200,2200,2000,1850,1995,1900,1900,1900,2100,2050,2054,2000,2000,1987,1860,1949,2100,2000,2125,2199,2173,2100,2148,2100,2199,2200,2200,2500,2200,2313,2500,2395,2200,2325,2400,2425
Bushwick,Brooklyn,neighborhood,2445,2450,2499,2550,2599,2600,2650,2650,2600,2500,2495,2450,2450,2492,2499,2550,2619,2699,2700,2695,2600,2571,2500,2468,2500,2549,2590,2650,2650,2625,2750,2800,2799,2799,2749,2650,2781,2800,2750,2650,2600,2571,2595,2500,2475,2399,2396,2350,2354,2399,2399,2400,2450,2500,2650,2800,2806,2800,2800,2800,2900,3000,3050,3150,3250,3300,3400,3450,3400,3200,3100,3100,3100,3200,3200,3250,3350,3350,3400,3400,3300,3300
Cambria Heights,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canarsie,Brooklyn,neighborhood,2200,1850,1750,2025,2100,2100,2100,1825,1900,1900,1900,2075,2174,2100,2000,1999,2100,2200,2150,2250,2250,2250,2000,2000,2000,1990,2200,2000,2000,2100,2100,2100,1958,2100,2100,2100,2200,2200,2300,2299,2300,2200,2175,2200,2250,2300,2300,2177,2100,2250,2075,1950,1975,2195,2095,2050,2098,2200,2250,2399,2200,2200,2275,2350,2300,2250,2550,2350,2300,2400,2388,2300,2300,2400,2500,2600,2500,2600,2600,2450,2500,2500
Carroll Gardens,Brooklyn,neighborhood,3000,2800,2800,2850,2900,2900,2900,2913,2800,2950,2900,2900,2850,2900,2850,3000,3250,3063,3000,3000,3000,2990,2938,3200,3165,2900,2763,2875,2950,2999,3250,3425,3650,3500,3250,3300,3200,3400,3395,3300,3495,3050,3000,3000,2850,2750,2700,2500,2500,2500,2500,2600,2600,2825,2900,3250,3100,3175,4000,3500,3490,3500,3450,4100,4100,4000,4525,4425,4000,4400,4625,4650,4350,4900,4850,4800,4200,4198,4595,4725,4700,4500
Castle Hill,Bronx,neighborhood,1795,1496,1700,1650,1700,1495,1473,1525,1850,1900,1800,1800,1850,,,,1500,1600,1800,1750,1750,1799,,,,,1575,1850,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,,,,,,2050,,,,,,,,,,,,,,,
Central Harlem,Manhattan,neighborhood,2495,2400,2350,2375,2400,2400,2498,2500,2475,2400,2395,2397,2400,2450,2500,2550,2500,2500,2550,2600,2500,2475,2425,2420,2468,2475,2499,2595,2650,2700,2667,2695,2600,2550,2563,2500,2500,2500,2500,2500,2600,2595,2550,2500,2400,2400,2400,2385,2300,2300,2300,2300,2350,2450,2452,2400,2473,2453,2424,2475,2500,2533,2594,2642,2700,2983,3050,2995,2850,2800,2900,2875,2895,2950,2999,3150,3000,3147,3149,3100,3000,2995
Central Park South,Manhattan,neighborhood,7378,7000,6998,6900,6500,7000,6550,7258,6862,7500,6800,6550,7000,7225,7500,7495,6800,6800,7500,7225,7820,7650,8999,7800,7350,7550,7450,7500,6721,6950,6800,6600,6500,7450,7425,7500,7998,7575,7950,8100,7475,6850,6185,6093,6185,6500,6650,6500,6948,7000,6800,7000,6800,7175,7200,7250,8250,8500,8500,9000,8000,7475,8500,8375,9000,9000,11500,10000,10000,10000,10000,9675,10500,10638,8500,9000,9000,10500,10500,10500,12000,12375
Central Queens,Queens,submarket,2150,2100,2100,2050,2097,2150,2200,2195,2150,2100,2060,2095,2050,2045,2100,2100,2100,2100,2200,2250,2200,2128,2095,2050,2099,2100,2150,2195,2195,2249,2275,2250,2200,2100,2150,2150,2150,2199,2200,2200,2200,2200,2200,2165,2100,2050,2025,2000,2000,2000,2000,2000,2100,2100,2148,2100,2150,2161,2200,2250,2200,2200,2200,2300,2395,2495,2500,2550,2550,2500,2500,2495,2470,2500,2500,2550,2600,2700,2700,2795,2800,2750
Chelsea,Manhattan,neighborhood,3895,3950,3913,3908,3950,3900,3900,3800,3845,3940,3950,3916,3945,4000,4000,3995,3995,4003,3995,4080,4149,4026,4000,4036,4008,4250,4150,4250,4295,4476,4403,4368,4329,4327,4298,4230,4100,4176,4200,3993,3850,3850,3650,3550,3445,3372,3300,3400,3400,3500,3600,3500,3695,3900,4196,4495,4536,4700,4795,4650,4850,4909,4965,5195,5146,5146,5198,5183,5266,5450,5189,5128,5200,5350,5195,5200,5500,5490,5480,5350,5250,5072
Chinatown,Manhattan,neighborhood,2950,2800,2725,2875,3000,2800,2898,2773,2700,2648,2725,2800,2673,2700,2695,2600,2900,2900,2700,2800,2873,2550,2799,2800,2700,2800,2563,2700,2700,3000,3000,2600,2500,3000,2950,3200,3275,2695,3300,3000,2985,2935,2796,2700,2433,2400,2400,2350,2400,2395,2300,2498,2450,2450,2495,2500,2800,3150,2675,2473,3000,3150,3448,3195,3200,3573,2950,3000,3000,3295,2995,2885,2750,3095,3198,3250,3345,3200,3295,3150,3200,3288
City Island,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civic Center,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearview,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2298,,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,1988,,,,,,,,,,,
Clinton Hill,Brooklyn,neighborhood,2600,2650,2650,2600,2750,2700,2700,2600,2599,2795,2725,2735,2700,2600,2650,2784,2879,2880,2850,2800,2750,2700,2700,2769,2950,2950,3000,2980,3157,3254,3067,3100,2950,3050,3000,2973,2954,3100,2995,2995,2990,2978,2900,2800,2700,2650,2613,2600,2600,2595,2595,2600,2650,2700,2850,3109,3155,3000,2900,3100,3500,3513,3348,3400,3600,3700,3800,4050,3995,3938,3975,3800,3775,3788,3913,3850,3925,3980,4005,4038,4055,3839
Co-op City,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobble Hill,Brooklyn,neighborhood,2756,2815,2750,2688,3000,2973,3000,3300,3200,3200,3075,3050,3100,2950,2950,3100,3176,3176,3325,3425,3400,3100,3198,3200,3200,3225,3200,3195,3170,3300,3662,3800,3650,3575,3400,3640,3125,3500,3425,3500,3350,3200,3000,2933,2888,2800,2800,2850,2800,2725,2850,2600,2800,2750,2950,3250,3300,3350,3200,3695,3250,4300,3623,3895,5200,5000,4873,4675,4750,4375,4375,4450,4067,4350,4350,4200,4500,4500,4700,4850,5598,4500
College Point,Queens,neighborhood,2300,,,,,2200,2200,2100,,,,,,,,2100,2175,,,,2125,2000,2125,2150,2175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,,2050,,2300,2000,2400,2400,2600,2700,2350,2375,2425,2500,,2250,2325,2475,2607,2150,
