areaName,Borough,areaType,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10
Prospect Lefferts Gardens,Brooklyn,neighborhood,2137,2200,2200,2198,2095,2175,2200,2097,2100,2098,2000,2150,2000,2200,2249,2350,2400,2400,2494,2344,2300,2250,2250,2297,2250,2299,2395,2350,2399,2470,2395,2400,2300,2400,2300,2200,2400,2375,2299,2400,2450,2350,2395,2300,2199,2199,2100,2000,2000,2000,1995,1995,2195,2200,2400,2430,2499,2400,2350,2300,2300,2355,2500,2500,2639,2750,2972,2900,2949,2850,2849,2699,2850,2787,2799,2825,2949,3000,3000,3000,3000,3000
Prospect Park,Brooklyn,submarket,2538,2550,2566,2600,2650,2700,2700,2700,2650,2600,2500,2499,2500,2500,2500,2563,2653,2700,2749,2700,2695,2600,2600,2600,2599,2595,2600,2700,2795,2800,2800,2800,2781,2850,2700,2700,2700,2734,2750,2700,2850,2800,2750,2695,2569,2500,2499,2495,2493,2450,2400,2450,2500,2500,2650,2700,2800,2736,2723,2750,2900,2987,3000,3150,3400,3400,3599,3500,3525,3500,3385,3263,3300,3399,3400,3550,3600,3600,3700,3621,3650,3600
Prospect Park South,Brooklyn,neighborhood,1998,1975,1997,2150,2240,2100,1999,2000,2025,1999,1950,1995,2100,2000,1975,2150,2150,2175,2099,2150,2100,2076,1975,2100,2150,2150,2195,2200,2250,2250,2250,2200,2199,2154,1999,2242,2200,2100,2113,2195,2199,2199,2195,2150,2100,2091,1997,1899,1910,1850,1895,1895,2100,2250,2300,2150,2325,2200,2275,2200,2250,2150,2297,2300,2150,2758,2790,2550,2600,2398,2550,2562,2574,2442,2650,2525,2500,2495,2600,2850,2787,2787
Queens,Queens,borough,2200,2200,2200,2200,2200,2200,2250,2300,2250,2200,2200,2197,2150,2150,2200,2200,2200,2200,2250,2300,2275,2200,2195,2150,2200,2200,2200,2250,2250,2300,2300,2300,2300,2300,2299,2250,2300,2350,2350,2399,2350,2300,2300,2200,2200,2100,2100,2042,2000,2000,2000,2050,2100,2195,2200,2250,2250,2250,2275,2300,2300,2300,2335,2400,2500,2600,2600,2625,2650,2650,2600,2600,2625,2600,2650,2720,2800,2853,2900,2900,2900,2900
Queens Village,Queens,neighborhood,1775,,,,,,1900,,,,,,,1798,,,,,,,,,,,,,,,,,,,,,,,,,2125,,,2100,,,2125,,,,,,1600,,,,,,2125,1975,1999,,2200,2150,1850,,,,,,,,1900,,,1800,1888,1650,1775,1776,1895,2000,2200,
Red Hook,Brooklyn,neighborhood,2475,2500,2850,2699,2600,2699,2600,2800,2800,2850,2850,2825,2600,2750,2813,2750,2775,2750,2550,2600,2625,2500,2700,2718,2613,2700,2750,2700,2700,2950,2700,2700,2799,2749,2700,2700,2600,2575,2700,2700,2900,2850,2725,2700,2500,2200,2500,2650,2500,2500,2400,2300,2400,2400,2300,2200,2100,3100,3125,2856,2900,2500,2875,2850,2900,3000,3648,3200,3500,3000,2975,3000,3150,3300,3300,3600,3000,3200,3000,3200,3750,3995
Rego Park,Queens,neighborhood,2200,2165,2150,2150,2088,2175,2168,2300,2200,2200,2000,2000,2050,2025,2050,2073,2000,1975,2100,2160,2150,2138,2050,2050,2050,2079,2150,2100,1950,2084,2113,2150,2204,2075,2187,2109,2150,2100,2175,2100,2100,2100,1963,1900,1950,1916,1950,1970,2000,2000,1850,1995,2000,2100,2100,1995,2025,2000,2095,2281,2300,2150,2000,2000,2100,2285,2350,2500,2400,2550,2425,2325,2495,2500,2594,2600,2505,2595,2525,2750,2880,2828
Richmond Hill,Queens,neighborhood,1650,1650,,,,1700,1700,,,,,,,,2100,1775,1625,,,,1900,1850,1650,1650,1788,,,,1675,1713,1688,1695,,1675,2050,1850,1850,1850,,,1900,1900,,1700,,,,,1900,1938,1900,1900,1725,1725,1950,1875,1695,1700,1698,1898,2100,1725,1713,1725,1800,1950,1800,1800,2100,2100,2100,2075,1900,1800,1800,1788,2200,2198,,2200,2200,1975
Ridgewood,Queens,neighborhood,2495,2495,2500,2499,2500,2599,2600,2550,2400,2300,2250,2385,2386,2400,2450,2499,2550,2550,2600,2600,2499,2500,2495,2400,2375,2300,2400,2500,2599,2670,2700,2700,2500,2500,2498,2400,2500,2500,2474,2500,2533,2540,2500,2425,2398,2299,2250,2250,2250,2200,2200,2200,2299,2400,2500,2597,2550,2499,2570,2550,2500,2650,2699,2799,2900,3000,3000,3375,3250,3250,3100,3099,2910,2950,2990,3000,3000,3100,3145,3199,3300,3200
Riverdale,Bronx,neighborhood,2008,2000,2000,2098,2073,2125,2200,2200,2150,2100,2048,2048,2130,2200,2295,2395,2250,2345,2250,2160,2200,2150,2200,2300,2250,2200,2200,2200,2200,2200,2300,2300,2300,2300,2300,2300,2395,2400,2445,2500,2375,2400,2450,2495,2496,2400,2335,2250,2395,2423,2270,2276,2300,2399,2400,2500,2573,2585,2468,2340,2397,2450,2450,2400,2563,2800,2598,2563,2800,2700,2700,2593,2593,2513,2500,2600,2600,2600,2795,2763,2850,2800
Rockaway All,Queens,neighborhood,1800,1825,1775,1625,1737,1897,1825,1725,1763,1750,1900,1848,2123,1799,2300,2300,1975,1913,2088,1890,1890,1900,2035,2000,1900,1900,1850,1997,1895,2050,2000,2033,1950,1975,1995,1999,1884,1800,1800,1800,1997,1800,1912,1912,1865,1900,1900,2075,1860,1862,1749,1900,2017,2050,2000,2200,2209,2200,2149,1999,1999,2200,2250,2425,2425,2475,2250,2500,2475,2575,2450,2374,2450,2554,2450,2450,2450,2450,2395,2348,2500,2600
Roosevelt Island,Manhattan,neighborhood,3182,3253,2915,3348,3278,3333,3285,3128,2785,2850,2850,2915,2995,3265,3200,3150,3260,3300,3433,3630,3415,3378,3277,3277,3423,3245,3245,3345,3278,3593,3595,3505,3595,3585,3850,3398,3400,3243,3106,3089,3198,3200,3300,3338,3325,3295,3310,3200,2933,2933,2895,3102,3185,3018,3395,3495,3367,3480,3679,3657,3679,3800,3468,3695,3878,4169,3998,4100,4119,4000,4150,4092,4004,4108,4120,3900,4090,4064,4134,4144,4154,4171
Rosedale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schuylerville,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagate,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheepshead Bay,Brooklyn,neighborhood,1850,1950,1925,1950,1900,1850,1800,1900,1850,1738,1849,1995,1913,1883,1800,1870,1900,1850,1875,1900,1995,1795,1750,1785,1750,1750,1800,1800,1925,1835,1835,2000,1998,1845,1950,1973,2190,1900,1850,2255,2005,2025,2000,2010,1875,1900,1995,1915,1869,1900,1900,1800,1849,1850,1850,1875,1997,2000,1900,1883,1913,1985,1963,1900,2082,2100,2250,2299,2300,2395,2500,2550,2425,2600,2700,2550,2600,2525,2525,2995,2999,2800
Soho,Manhattan,neighborhood,4900,4795,4615,4748,4728,4500,5010,4898,4950,5200,5813,6500,5500,6000,5400,5000,4995,4500,4997,5500,5500,5400,5500,5778,6200,5900,5025,4829,5150,5050,5198,5350,5398,5198,6650,6348,5095,4500,5450,5325,4448,4295,4095,4050,4165,3995,4159,4002,3850,4000,3994,3995,4200,4800,4900,5700,5600,6500,6700,6000,5998,5900,6000,6300,5762,5200,5400,6000,7300,6558,6900,6900,6158,6000,6000,6225,5795,5812,6000,6595,8150,7500
Soundview,Bronx,neighborhood,1700,1800,1650,1675,1700,1750,1700,1875,1675,1688,1600,,1615,1675,1650,1900,2063,2025,2000,1875,1995,1898,1800,1725,1725,1513,1950,2025,1947,1813,1513,1650,1765,1850,1984,1895,2073,1850,2000,2000,1895,1699,1850,2075,1687,1862,1862,1831,1950,2036,2011,2021,2075,1838,2048,2000,1856,1950,2250,2100,2027,1791,1650,,2200,2244,1941,2500,2650,2425,1750,2000,1650,1788,2500,1950,2500,,1750,2250,,
South Brooklyn,Brooklyn,submarket,1950,1984,1950,1995,1999,2000,2000,2000,1999,2000,1957,1955,2000,2000,1999,1999,2000,2070,2099,2100,2099,2000,2000,2000,2000,2000,2000,2050,2100,2095,2100,2100,2100,2100,2100,2179,2199,2195,2200,2200,2183,2163,2150,2100,2017,1999,1950,1925,1925,1900,1900,1900,1962,2000,2000,2096,2100,2100,2100,2096,2149,2200,2275,2300,2400,2499,2500,2500,2500,2500,2499,2500,2539,2550,2595,2600,2650,2655,2700,2700,2700,2699
South Jamaica,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,,,,,,,2450,2550,,,,,1800,1800,,,,
South Ozone Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000
South Queens,Queens,submarket,1750,1800,1900,1963,1950,1990,1950,1825,1950,1995,1900,1875,1900,1850,1950,1850,1850,1973,2000,2050,2000,1995,1938,1850,2000,1900,1942,2000,1995,1900,2075,1999,2100,2000,2000,2000,2000,2200,2200,2106,1943,1902,2005,2000,2000,2000,2000,2003,2000,2100,1975,1995,1995,1998,2000,2225,2100,2170,2199,2200,2250,2295,2290,2355,2445,2450,2500,2535,2500,2400,2495,2450,2300,2306,2400,2450,2500,2553,2600,2600,2670,2695
South Richmond Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,
Springfield Gardens,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Albans,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,,,,,,,,,2200,2500,,,2400,1925,,,1550,1700,2450,,,2950,
Staten Island,Staten Island,borough,1950,1900,1900,1918,2000,2033,1950,1950,1790,1875,1900,1925,1800,1842,1800,1825,1829,1894,1950,2000,2000,1865,1959,1865,1853,1850,1890,1875,2050,2050,2000,2045,2200,2200,2200,2000,1952,1998,2123,1831,1833,1900,1900,1850,1863,1950,1995,2150,1950,1900,1873,2000,1950,1849,1849,2000,2025,2125,2000,2060,2050,1932,1932,1975,1950,1950,2050,2125,2253,2200,2100,2050,2095,2175,2200,2200,2100,2000,1900,2000,2125,2200
Stuyvesant Town/PCV,Manhattan,neighborhood,4049,3915,4040,4112,4106,4222,4182,4266,4435,4620,4475,4710,4157,4191,3804,3833,3818,3807,3822,3966,3769,4052,3741,3774,4127,3690,3655,3887,3910,3792,3881,3881,3885,3880,3885,3753,3892,4139,3908,3980,3945,3910,3902,3786,3770,3885,3785,3872,4235,3698,3677,3688,3565,3650,3982,4014,4187,4469,4644,4603,4854,4824,5161,5202,5355,5314,5174,4760,4695,4705,4895,5100,5100,5133,4952,5262,5488,6112,5265,5858,5596,5301
Sunnyside,Queens,neighborhood,2000,1970,1950,1950,2000,2000,2000,2000,1975,2000,1950,2000,1950,1950,1995,2000,2000,2000,1999,2000,2000,1925,1958,1950,1950,1938,1975,1995,1950,1950,1995,2050,2066,2100,2050,2063,2000,2000,2100,2100,2100,2000,2000,2000,1995,1900,1800,1825,1850,1795,1800,1800,1800,1800,1900,1930,1950,2050,2000,2038,2100,2150,2100,2063,2300,2150,2300,2350,2250,2250,2200,2375,2200,2310,2400,2305,2425,2450,2406,2695,2700,2473
Sunset Park,Brooklyn,neighborhood,1960,1950,2000,2000,2025,2100,2195,2025,2050,2000,2000,2000,1999,2000,1999,1990,2154,2200,2200,2000,2000,1995,2000,1950,1985,1900,2000,2000,2125,2150,2195,2110,2000,2099,2100,2100,2100,2100,2100,2062,2050,2000,2099,2016,1950,1900,1900,1900,1850,1800,1848,1850,2000,1950,2000,1997,2000,2000,1999,2000,2000,2013,2100,2300,2400,2463,2400,2400,2325,2400,2390,2200,2275,2500,2500,2450,2450,2400,2500,2475,2450,2400
The Rockaways,Queens,submarket,1800,1825,1775,1625,1737,1897,1825,1725,1763,1750,1900,1848,2123,1799,2300,2300,1975,1913,2088,1890,1890,1900,2035,2000,1900,1900,1850,1997,1895,2050,2000,2033,1950,1975,1995,1999,1884,1800,1800,1800,1997,1800,1912,1912,1865,1900,1900,2075,1860,1862,1749,1900,2017,2050,2000,2200,2209,2200,2149,1999,1999,2200,2250,2425,2425,2475,2250,2500,2475,2575,2450,2374,2450,2554,2450,2450,2450,2450,2395,2348,2500,2600
Throgs Neck,Bronx,neighborhood,,1800,,,1750,2000,1950,1763,2150,1950,1850,1800,2100,1875,1850,,,2499,2400,2400,2200,2150,2150,2150,1600,1788,,2000,2000,1950,1975,,1950,2150,2250,2399,,,,,,2300,,,,,,,,2373,2475,2150,2200,2225,2250,2250,2300,2300,3000,2300,2100,2200,2200,2298,,,2837,2798,2713,,2650,2400,2500,2300,2500,2675,2450,2150,,,,2500
Tremont,Bronx,neighborhood,1350,1350,1375,1525,1625,1600,1749,1725,1700,1700,1700,1600,1700,1800,1800,1475,1800,1825,1538,1849,1950,1800,1750,1700,1650,1675,1600,1650,1650,1650,1799,1799,1799,1610,1550,,1912,,1924,1696,1649,1738,1676,1650,1625,1725,1649,1649,1550,1550,1638,1638,1495,1600,1795,1744,1763,1795,1767,1719,1650,2099,1995,1710,1800,1750,1895,1773,1750,1750,1738,1725,1850,1895,1873,1895,2455,2499,1998,2350,1961,1931
Tribeca,Manhattan,neighborhood,8000,7800,8000,8000,7770,7595,8398,6195,5995,6000,5998,6650,6640,6595,6871,7000,6598,7000,6995,7285,7291,6980,7143,6850,6724,6000,6300,6400,6500,6595,7100,6700,7600,7700,7450,7500,7098,7095,6800,6412,6798,7100,6995,6998,6800,6926,6784,6800,6473,5885,5499,5712,5995,6448,6500,6700,8000,7700,7500,8250,7400,7200,7295,7695,8250,8625,9000,9500,9700,10000,10500,9500,8496,8250,7998,7783,7973,8753,8950,9495,9500,9500
University Heights,Bronx,neighborhood,1575,1650,1663,1675,1495,1550,1500,1550,1598,1575,1600,1560,1638,1500,1648,1649,1698,1750,1875,1750,1697,1693,1649,1645,1599,1750,1800,1800,1800,1850,1650,1650,1799,1799,1700,1699,1750,1774,1799,1649,1649,1650,1650,1650,1675,1799,1699,1699,1696,1699,1749,1699,1899,1899,1700,1800,1699,1799,1699,1797,1750,1660,1750,1800,1798,1800,1858,1900,1699,1725,1835,1900,1900,2173,2200,2098,1999,2100,2210,2200,1999,2000
Upper East Side,Manhattan,neighborhood,2995,2995,2925,2950,2950,2950,2950,2900,2995,2950,2995,2990,2900,2895,2850,2850,2850,2900,2925,2900,2895,2995,2995,3000,3000,3000,2995,2995,3000,3050,3050,2995,3000,3100,3225,3295,3281,3250,3250,3195,3065,2950,2800,2700,2650,2500,2495,2500,2450,2475,2400,2400,2475,2499,2550,2700,2850,2950,3200,3390,3450,3550,3400,3400,3500,3500,3550,3750,3750,3800,3845,3821,3900,4000,4000,3995,4000,4000,4000,3995,4000,3995
Upper West Side,Manhattan,neighborhood,3297,3300,3250,3290,3300,3350,3350,3373,3350,3380,3306,3330,3350,3285,3250,3285,3300,3350,3320,3313,3395,3394,3350,3395,3395,3350,3395,3450,3460,3450,3400,3500,3600,3600,3630,3550,3600,3551,3500,3400,3295,3200,3150,3000,2925,2810,2800,2809,2800,2850,2800,2850,3000,3000,3200,3295,3550,3641,3800,3950,3995,4000,4092,4236,4244,4200,4400,4435,4500,4500,4500,4450,4450,4445,4495,4500,4463,4400,4500,4500,4500,4495
Utopia,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Nest,Bronx,neighborhood,,,,,,,,,,,,,2100,2100,,,,,,,,,1400,1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield,Bronx,neighborhood,1425,1500,1700,1575,1450,1475,1475,1475,,1500,,,,,,,1450,1900,1900,1600,2050,2100,,1700,2200,2200,1899,1800,1700,1900,1900,2025,2199,,,,2195,1998,1900,,1825,,,,,,,1800,1950,1713,1775,1800,1850,2150,2100,1700,1800,1950,1998,,1650,,2050,2175,2500,,2550,2500,2200,,2500,2195,2218,2175,2163,1725,1615,,,1650,,2300
Washington Heights,Manhattan,neighborhood,2214,2150,2150,2200,2195,2195,2250,2200,2100,2185,2100,2100,2125,2135,2150,2150,2165,2200,2250,2250,2200,2235,2222,2195,2150,2200,2195,2195,2250,2300,2250,2250,2200,2200,2195,2200,2225,2250,2295,2253,2195,2250,2208,2195,2100,2100,2100,2000,2000,2000,2000,2050,2098,2129,2183,2200,2200,2200,2200,2250,2293,2295,2298,2300,2400,2549,2500,2450,2425,2450,2400,2400,2425,2498,2500,2550,2585,2600,2600,2600,2600,2575
West Harlem,Manhattan,neighborhood,2350,2498,2500,2500,2600,2583,2750,2698,2500,2550,2575,2600,2598,2623,2573,2775,2700,2650,2700,2800,2475,2497,2450,2392,2400,2369,2500,2585,2475,2695,2700,2600,2473,2461,2500,2495,2495,2600,2600,2500,2600,2550,2525,2295,2315,2295,2295,2280,2295,2293,2290,2300,2350,2300,2300,2500,2413,2300,2400,2468,2650,2625,2590,2687,2945,2898,3000,2850,2700,2600,2593,2600,2650,3075,3225,3218,3195,3025,3195,3000,2875,2788
West Village,Manhattan,neighborhood,3565,3595,3600,3680,3799,3800,3827,3795,3695,3573,3495,3498,3598,3600,3725,3795,3850,3825,3850,3900,3895,3805,3900,3850,3850,3800,3840,3965,4095,4250,4150,3995,3995,4100,4073,4114,4185,4100,4171,4125,3700,3648,3600,3485,3316,3245,3200,3140,3025,3195,3100,3250,3400,3500,3895,4200,4360,4438,4362,4495,4495,4600,4650,4800,4995,4900,5150,5000,5000,5250,5000,5000,5200,5198,5000,5025,5250,5195,5093,4973,4995,4995
Westchester Village,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitestone,Queens,neighborhood,2350,2350,2400,2250,2200,2300,2300,2695,,,,,,,1798,2250,2200,2150,2200,,,2250,2100,2338,2375,2300,2300,2300,2250,2200,2300,2350,2350,2250,2400,2300,2300,2225,,,,,2425,2325,2675,2500,,,2400,,,,5995,,2200,2600,2699,,2350,2000,,2100,2200,2200,2675,2850,2675,2600,2700,2500,2500,2498,2350,2525,2500,2500,2700,2625,2600,,2175,2400
Williamsbridge,Bronx,neighborhood,,2250,2175,1500,1950,1898,2023,,,,,,1588,,,,1663,1675,1763,,,2150,2125,2150,1750,2100,1550,1600,1797,1775,2025,1825,1925,2150,,1650,1688,1978,,,,,2050,1875,1850,,1850,,1750,1950,1950,1650,1675,1800,1975,1900,,,2400,,1500,,1848,1800,1800,2200,2225,2249,2249,1850,1773,2249,2249,,2300,2300,1795,2350,2150,2350,1898,
Williamsburg,Brooklyn,neighborhood,3000,3000,3050,3100,3145,3190,3115,3115,3100,3000,2967,2900,2900,2950,2950,2999,3000,3000,3000,3000,3000,2999,2900,2895,2995,3000,3000,3200,3299,3300,3450,3450,3500,3500,3600,3600,3500,3500,3500,3499,3314,3200,3151,3000,2900,2840,2800,2800,2793,2800,2805,2800,2850,3075,3400,3655,3800,3654,3750,3899,3800,3950,3815,4000,4000,4363,4408,4350,4400,4323,4133,4219,4250,4275,4300,4350,4450,4500,4500,4500,4500,4500
Windsor Terrace,Brooklyn,neighborhood,2500,2500,2400,2500,2650,2750,2600,2500,2500,2500,2400,2384,2400,2400,2475,2500,2500,2522,2600,2681,2643,2600,2700,2580,2600,2773,2750,2575,2650,2800,2500,2800,2800,2800,2495,2500,2500,2525,2695,2698,2590,2800,2722,2717,2684,2590,2750,2750,2750,2545,2700,2500,2200,2450,2650,2400,2713,2750,3050,2900,3000,2900,3000,3350,3125,3000,3455,3750,3425,3315,2875,2956,3000,3000,3200,3400,3355,3353,3400,3200,3300,3200
Woodhaven,Queens,neighborhood,1595,1675,1750,1995,2100,1750,1700,1775,2000,1995,,2188,2000,2100,2175,1736,1650,1725,1900,1788,1725,1825,1850,1742,1746,1950,1950,1800,1750,1725,1750,1788,1788,1745,1800,1725,1800,1850,,,1850,1773,1838,2100,2000,1838,1923,2100,2000,1725,1713,2350,2350,1700,1697,1750,2350,2200,2250,2299,2200,2300,2300,2288,2450,2000,2400,2075,2075,2313,2399,2250,2299,2150,2500,2500,2450,2100,2100,2200,2700,2750
Woodlawn,Bronx,neighborhood,,,1750,,,,1625,,,,,,,,,,,,,,,,,,,,,1650,,,,,,,,,,,,,,,,1700,,,,,,,,,,,,,,,,,,,2150,,,,,,,,,,,,,,,,,,,
Woodside,Queens,neighborhood,1850,1900,1900,1900,1795,2030,2100,2050,2100,2000,1900,1985,1800,1775,1950,1975,1995,2050,1775,1865,1999,1879,1945,1895,1875,1850,1900,1900,1985,1995,2000,2000,2000,1890,2000,2075,1895,2098,2200,2000,1850,1975,1950,2000,1900,1899,1875,1850,1800,1800,1750,1750,1800,1852,1850,1900,2060,2000,1899,1875,2000,1950,2050,1926,1950,2200,2250,2250,2400,2330,2213,2260,2300,2400,2300,2500,2500,2700,2675,2860,2700,2975
Woodstock,Bronx,neighborhood,,1825,2200,,1650,,1920,,,,1790,,,,,2225,2240,2155,1650,1787,2250,1950,1950,1790,2200,2025,,1950,1945,1948,1645,1888,1875,1888,1950,,1950,1950,1950,,,,1945,1971,1600,1825,1987,1963,1850,1558,1375,1800,2061,1838,1900,1800,1975,1725,1850,1875,1950,1950,,1975,1950,,1950,1800,1625,1800,2100,2000,1963,2125,2400,2500,2150,2600,2500,,,
